,LC_top,LC_bottom,s_since_start
589,130950340000.0,86528410000.0,1570.6666666666665
590,131335200000.0,86606190000.0,1573.3333333333333
591,131453665000.0,86634220000.0,1576.0
592,131676865000.0,86708130000.0,1578.6666666666665
593,131700410000.0,86709910000.0,1581.3333333333333
594,131777700000.0,86721180000.0,1584.0
595,131711130000.0,86671280000.0,1586.6666666666665
596,131340500000.0,86524900000.0,1589.3333333333333
597,131245335000.0,86520230000.0,1592.0
598,131297800000.0,86489860000.0,1594.6666666666665
599,131592010000.0,86583010000.0,1597.3333333333333
600,131636700000.0,86599130000.0,1600.0
